Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Nom;Ville;Pays;Telephone;Email;Site web;Type;Priorite
Hôtel Le Lac;Malbuisson;FR;+33 3 81 69 34 80;contact@complexe-le-lac.fr;complexe-le-lac.fr;Hôtel;???
Hôtel SPA Les Rives Sauvages;Malbuisson;FR;+33 3 81 38 74 37;contact@les-rives-sauvages.fr;les-rives-sauvages.fr;Hôtel SPA;???
Marc Faivre Le Bon Accueil;Malbuisson;FR;+33 3 81 69 30 58;marcfaivre@le-bon-accueil.fr;le-bon-accueil.fr;Hôtel-Restaurant;???
Hôtel Beau Site;Malbuisson;FR;A vérifier;A vérifier;;Hôtel;??
Hôtel de la Poste;Malbuisson;FR;A vérifier;A vérifier;;Hôtel;??
La Maison des Cimes;Malbuisson;FR;A vérifier;A vérifier;latelierdedonat.com;Hôtel;???
L'Écrin du Lac;Malbuisson;FR;+33 3 81 69 67 47;xavier.robbe0098@orange.fr;l-ecrin-du-lac.fr;Chambre d'hôtes;??
Hôtel Saint-Pierre;Pontarlier;FR;+33 3 81 46 50 80;contact@hotel-st-pierre-pontarlier.fr;hotel-st-pierre-pontarlier.fr;Hôtel;???
Hôtel des Sapins et du Lac;Pontarlier;FR;+33 3 81 89 42 29;lovadim25@orange.fr;hotel-restaurant-pontarlier.fr;Hôtel;??
Campanile;Pontarlier;FR;+33 3 81 46 66 66;pontarlier@campanile.fr;campanile.com;Hôtel chaîne;??
Ibis;Pontarlier;FR;+33 3 81 46 71 78;H6550@accor.com;all.accor.com/hotel/6550;Hôtel chaîne;?
Ibis Budget;Pontarlier;FR;+33 3 81 39 15 20;h7418@accor.com;all.accor.com/hotel/7418;Hôtel chaîne;?
hotelF1;Pontarlier;FR;A vérifier;h2439@accor.com;all.accor.com/hotel/2439;Hôtel chaîne;?
Les Gentianes;Rochejean;FR;+33 3 81 49 90 54;hotellesgentianes@wanadoo.fr;hotelmetabief.net;Hôtel-Restaurant;???
Hôtel Étoile des Neiges;Métabief;FR;+33 3 81 49 11 21;contact@hoteletoiledesneiges.fr;hoteletoiledesneiges.fr;Hôtel;???
Hôtel Restaurant Les Sapins;Métabief;FR;+33 3 81 49 90 90;A vérifier;;Hôtel;??
Géraniums et neige fraîche;Métabief;FR;+33 3 81 49 12 77;geraniumsetneigefraiche@orange.fr;;Chambre d'hôtes;??
Centre de vacances VTF Le Bief Rouge;Métabief;FR;A vérifier;A vérifier;;Centre de vacances;?
Hôtel de la Couronne;Jougne;FR;+33 3 81 49 10 50;A vérifier;;Hôtel;??
Hôtel-Restaurant de la Poste;Métabief;FR;+33 3 81 49 27 24;A vérifier;hotel-restaurant-delaposte.fr;Hôtel;??
Le Tillau;Mouthe;FR;+33 3 81 69 46 72;reception@letillau.com;letillau.com;Hôtel;???
Les Clochettes du Risoux;Chapelle-des-Bois;FR;+33 3 81 69 21 82;A vérifier;lesclochettesdurisoux.com;Hôtel;??
Hôtel Club Le Risoux;Bois-d'Amont;FR;+33 3 84 60 94 24;A vérifier;hotelclublerisoux.com;Hôtel;??
Les Villages Clubs du Soleil;Bois-d'Amont;FR;A vérifier;A vérifier;villagesclubsdusoleil.com;Club vacances;?
Lodge Hotel;Les Rousses;FR;+33 3 84 60 50 64;A vérifier;hotellelodge.com;Hôtel;???
Hôtel de France;Les Rousses;FR;A vérifier;A vérifier;;Hôtel;??
Domaine du Mont-Saint-Jean;Les Rousses;FR;+33 3 84 60 09 71;A vérifier;domainemontsaintjean.com;Hôtel;???
Hôtel Restaurant Arbez Franco-Suisse;Les Rousses;FR;+33 3 84 60 02 20;A vérifier;arbezie.com;Hôtel;???
Chalet de la Haute-Joux;Haut-Jura;FR;+33 3 84 51 10 39;contact@chaletdelahautejoux.com;chaletdelahautejoux.com;Hôtel chalet;???
Kyriad Direct;Morez;FR;+33 3 84 45 25 97;morez@kyriaddirect.fr;direct-morez.kyriad.com;Hôtel;??
Auberge du Coude;Labergement-Sainte-Marie;FR;+33 3 81 69 31 57;A vérifier;aubergeducoude-25.com;Auberge;??
Hôtel de la Lande;Le Brassus;CH;+41 21 845 44 41;info@hotellalande.ch;hotellalande.ch;Hôtel;???
Bellevue Le Rocheray;Le Sentier (Val. de Joux);CH;+41 21 845 57 20;info@rocheray.ch;rocheray.ch;Hôtel-Restaurant;???
Hôtel de Ville - La Baie Du Lac;L'Abbaye (Val. de Joux);CH;+41 21 841 13 93;info@baiedulac.ch;baiedulac.ch;Hôtel;???
Hôtel de la truite;Le Pont (Val. de Joux);CH;+41 21 841 17 71;A vérifier;hoteldelatruite.ch;Hôtel;???
Grand Hôtel des Rasses;Les Rasses;CH;+41 24 454 19 61;info@grandhotelrasses.ch;grandhotelrasses.ch;Hôtel;???
Hôtel de France;Sainte-Croix;CH;+41 24 454 38 21;welcome@hotelfrance.ch;hotelfrance.ch;Hôtel;???
Hôtel du Chasseron;Sainte-Croix;CH;+41 24 454 23 88;hotelduchasseron@gmail.com;chasseron.ch;Hôtel;???
Hôtel de la Concorde;Vallorbe;CH;+41 79 843 55 59;A vérifier;hotelconcorde.ch;Hôtel;??
Hôtel YParc;Yverdon-les-Bains;CH;+41 24 524 20 30;info@yparc-hotel.ch;yparc-hotel.ch;Hôtel;???
Hôtel du Théâtre;Yverdon-les-Bains;CH;+41 24 424 60 00;info@hotelyverdon.ch;hotelyverdon.ch;Hôtel;???
